WBS,タスク名,担当者,日数,開始日（YYYY-MM-DD）,終了日（YYYY-MM-DD）
1.4,予約システム,Ishikawa,90,,
1.4.0,要件定義,FUJI SALES / spf,10,,
1.4.0.1,現状業務ヒアリング,FUJI SALES,2,,
1.4.0.2,予約フロー整理,FUJI SALES,2,,
1.4.0.3,マイページ機能定義,FUJI SALES,2,,
1.4.0.4,Shopify連携要件整理,spf,2,,
1.4.0.5,API連携方針決定,spf,2,,
1.4.1,基本設計,spf Design,10,,
1.4.1.1,画面設計,Design,3,,
1.4.1.2,DB/データ設計,spf,2,,
1.4.1.3,API設計,spf,2,,
1.4.1.4,認証連携設計,spf,2,,
1.4.1.5,商品IDマッピング設計,spf,1,,
1.4.2,詳細設計,spf,10,,
1.4.2.1,フロント設計,Design,3,,
1.4.2.2,管理画面設計,spf,2,,
1.4.2.3,API詳細設計,spf,3,,
1.4.2.4,テスト仕様書作成,spf,2,,
1.4.3,プログラム制作,spf Design,40,,
1.4.3.1,Shopify連携開発,spf,10,,
1.4.3.2,予約機能開発,spf,10,,
1.4.3.3,マイページ開発,spf,8,,
1.4.3.4,API開発,spf,5,,
1.4.3.5,管理画面開発,spf,5,,
1.4.3.6,テスト環境構築,spf,2,,
1.4.4,単体試験,spf,5,,
1.4.4.1,API試験,spf,2,,
1.4.4.2,会員連携試験,spf,1,,
1.4.4.3,UI試験,Design,2,,
1.4.5,総合試験,FUJI SALES,9,,
1.4.5.1,シナリオ試験,FUJI SALES,3,,
1.4.5.2,予約動作確認,FUJI SALES,2,,
1.4.5.3,会員導線確認,FUJI SALES,2,,
1.4.5.4,修正対応,spf,2,,
1.4.6,本番移行,spf,5,,
1.4.6.1,本番環境構築,spf,2,,
1.4.6.2,データ移行,spf,1,,
1.4.6.3,サーバ移行対応,現ベンダー,1,,
1.4.6.4,本番公開,全体,1,,
1.4.7,実運用開始,FUJI SALES,5,,
1.4.7.1,初期運用サポート,spf,3,,
1.4.7.2,運用改善対応,FUJI SALES,2,,
